帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:21
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/02/01,12:55:42,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2024/02/01,12:55:42,"🔴政福🔴歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,Unknown,2024/02/01,12:55:58,貼圖已傳送
User,Unknown,2024/02/01,12:56:15,你好我是台中的便當店我要詢價鯖魚
Account,林鈺婷,2024/02/01,13:01:32,"老闆您好~我們有分兩種
一種品質比較好，6公斤/箱
另外一種，5公斤/箱"
User,Unknown,2024/02/01,13:21:35,照片，報價，最小片
Account,林鈺婷,2024/02/01,14:00:56,照片已傳送
Account,林鈺婷,2024/02/01,14:01:28,"最小片的100/130
6公斤A 一箱1080元
5公斤    一箱850元"
User,Unknown,2024/02/01,14:32:17,6公斤一箱幾片？5公斤一箱幾片？
User,Unknown,2024/02/01,14:32:39,我要核算一個便當賣多少
Account,林鈺婷,2024/02/01,14:33:46,"100/130的規格
6公斤一箱約52片，一片約21元左右
5公斤一箱約43片，一片約20元左右"
User,Unknown,2024/02/01,15:30:29,"貨到付款嗎？
多少免運費？"
Account,林鈺婷,2024/02/01,15:32:42,我們目前都是貨到付款，目前都要運費喔，免運要一次300公斤喔
