帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:17
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,枋寮/灶腳私房菜(YRNZH1200),2025/02/07,00:41:37,"司目魚60/10片
杏包菇B*1"
Account,自動回應訊息,2025/02/07,00:41:37,貼圖已傳送
Account,自動回應訊息,2025/02/07,00:41:37,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,枋寮/灶腳私房菜(YRNZH1200),2025/02/13,14:16:06,"海台柳葉魚1
阿里山棒腿2
"
Account,俐均,2025/02/13,14:25:59,貼圖已傳送
User,枋寮/灶腳私房菜(YRNZH1200),2025/02/14,14:06:01,下次送2包來看看
Account,俐均,2025/02/14,14:06:50,貼圖已傳送
User,枋寮/灶腳私房菜(YRNZH1200),2025/03/04,07:29:46,阿里山棒腿2包
Account,自動回應訊息,2025/03/04,07:29:47,貼圖已傳送
Account,自動回應訊息,2025/03/04,07:29:47,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,枋寮/灶腳私房菜(YRNZH1200),2025/03/07,07:00:33,海苔柳葉魚1箱
Account,自動回應訊息,2025/03/07,07:00:33,貼圖已傳送
Account,自動回應訊息,2025/03/07,07:00:33,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,枋寮/灶腳私房菜(YRNZH1200),2025/03/13,14:02:23,柳業魚1
User,枋寮/灶腳私房菜(YRNZH1200),2025/03/13,14:02:33,阿里山棒腿2
Account,林鈺婷,2025/03/13,14:03:28,貼圖已傳送
User,枋寮/灶腳私房菜(YRNZH1200),2025/03/19,10:54:02,他要怎麼保存
Account,林鈺婷,2025/03/19,10:57:35,冷藏保存喔
User,枋寮/灶腳私房菜(YRNZH1200),2025/03/30,00:55:14,這數量有幾支
Account,自動回應訊息,2025/03/30,00:55:15,貼圖已傳送
Account,自動回應訊息,2025/03/30,00:55:15,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2025/03/30,19:17:18,一箱40支
User,枋寮/灶腳私房菜(YRNZH1200),2025/04/01,13:57:57,半香雞2箱
User,枋寮/灶腳私房菜(YRNZH1200),2025/04/01,13:58:14,60p
User,枋寮/灶腳私房菜(YRNZH1200),2025/04/01,13:58:39,海台柳葉魚1箱
Account,俐均,2025/04/01,14:03:33,"老闆娘不好意思
明天路線沒有跑那裡,送貨路線是二,五
幫您安排下星二送去"
User,枋寮/灶腳私房菜(YRNZH1200),2025/04/07,14:02:53,請你看一下訊息好嗎
User,枋寮/灶腳私房菜(YRNZH1200),2025/04/07,14:03:08,上禮拜有叫了
Account,俐均,2025/04/07,14:03:22,貼圖已傳送
Account,林鈺婷,2025/04/07,15:23:28,老闆娘您好~我們問貨訊息都是系統固定發送的，如果已經叫貨，忽略就可以了，謝謝
User,枋寮/灶腳私房菜(YRNZH1200),2025/04/08,00:02:21,阿里山棒腿2包
Account,自動回應訊息,2025/04/08,00:02:22,貼圖已傳送
Account,自動回應訊息,2025/04/08,00:02:22,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
